#,Name,Type 1,Type 2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary,Armor
618.0,Stunfisk,Ground,Electric,471.0,109,66,84,81,99,32,5.0,False,100
619.0,Mienfoo,Fighting,,350.0,45,85,50,55,50,65,5.0,False,60
620.0,Mienshao,Fighting,,510.0,65,125,60,95,60,105,5.0,False,72
621.0,Druddigon,Dragon,,485.0,77,120,90,60,90,48,5.0,False,108
622.0,Golett,Ground,Ghost,303.0,59,74,50,35,50,35,5.0,False,60
623.0,Golurk,Ground,Ghost,483.0,89,124,80,55,80,55,5.0,False,96
624.0,Pawniard,Dark,Steel,340.0,45,85,70,40,40,60,5.0,False,84
625.0,Bisharp,Dark,Steel,490.0,65,125,100,60,70,70,5.0,False,120
626.0,Bouffalant,Normal,,490.0,95,110,95,40,95,55,5.0,False,114
627.0,Rufflet,Normal,Flying,350.0,70,83,50,37,50,60,5.0,False,60
628.0,Braviary,Normal,Flying,510.0,100,123,75,57,75,80,5.0,False,90
629.0,Vullaby,Dark,Flying,370.0,70,55,75,45,65,60,5.0,False,90
630.0,Mandibuzz,Dark,Flying,510.0,110,65,105,55,95,80,5.0,False,126
631.0,Heatmor,Fire,,484.0,85,97,66,105,66,65,5.0,False,79
632.0,Durant,Bug,Steel,484.0,58,109,112,48,48,109,5.0,False,134
633.0,Deino,Dark,Dragon,300.0,52,65,50,45,50,38,5.0,False,60
634.0,Zweilous,Dark,Dragon,420.0,72,85,70,65,70,58,5.0,False,84
635.0,Hydreigon,Dark,Dragon,600.0,92,105,90,125,90,98,5.0,False,108
636.0,Larvesta,Bug,Fire,360.0,55,85,55,50,55,60,5.0,False,66
637.0,Volcarona,Bug,Fire,550.0,85,60,65,135,105,100,5.0,False,78
638.0,Cobalion,Steel,Fighting,580.0,91,90,129,90,72,108,5.0,True,154
639.0,Terrakion,Rock,Fighting,580.0,91,129,90,72,90,108,5.0,True,108
640.0,Virizion,Grass,Fighting,580.0,91,90,72,90,129,108,5.0,True,86
641.0,TornadusIncarnate Forme,Flying,,580.0,79,115,70,125,80,111,5.0,True,84
641.0,TornadusTherian Forme,Flying,,580.0,79,100,80,110,90,121,5.0,True,96
642.0,ThundurusIncarnate Forme,Electric,Flying,580.0,79,115,70,125,80,111,5.0,True,84
642.0,ThundurusTherian Forme,Electric,Flying,580.0,79,105,70,145,80,101,5.0,True,84
643.0,Reshiram,Dragon,Fire,680.0,100,120,100,150,120,90,5.0,True,120
644.0,Zekrom,Dragon,Electric,680.0,100,150,120,120,100,90,5.0,True,144
645.0,LandorusIncarnate Forme,Ground,Flying,600.0,89,125,90,115,80,101,5.0,True,108
645.0,LandorusTherian Forme,Ground,Flying,600.0,89,145,90,105,80,91,5.0,True,108
646.0,Kyurem,Dragon,Ice,660.0,125,130,90,130,90,95,5.0,True,108
646.0,KyuremBlack Kyurem,Dragon,Ice,700.0,125,170,100,120,90,95,5.0,True,120
646.0,KyuremWhite Kyurem,Dragon,Ice,700.0,125,120,90,170,100,95,5.0,True,108
647.0,KeldeoOrdinary Forme,Water,Fighting,580.0,91,72,90,129,90,108,5.0,False,108
647.0,KeldeoResolute Forme,Water,Fighting,580.0,91,72,90,129,90,108,5.0,False,108
648.0,MeloettaAria Forme,Normal,Psychic,600.0,100,77,77,128,128,90,5.0,False,92
648.0,MeloettaPirouette Forme,Normal,Fighting,600.0,100,128,90,77,77,128,5.0,False,108
649.0,Genesect,Bug,Steel,600.0,71,120,95,120,95,99,5.0,False,114
650.0,Chespin,Grass,,313.0,56,61,65,48,45,38,6.0,False,78
651.0,Quilladin,Grass,,405.0,61,78,95,56,58,57,6.0,False,114
652.0,Chesnaught,Grass,Fighting,530.0,88,107,122,74,75,64,6.0,False,146
653.0,Fennekin,Fire,,307.0,40,45,40,62,60,60,6.0,False,48
654.0,Braixen,Fire,,409.0,59,59,58,90,70,73,6.0,False,69
655.0,Delphox,Fire,Psychic,534.0,75,69,72,114,100,104,6.0,False,86
656.0,Froakie,Water,,314.0,41,56,40,62,44,71,6.0,False,48
657.0,Frogadier,Water,,405.0,54,63,52,83,56,97,6.0,False,62
658.0,Greninja,Water,Dark,530.0,72,95,67,103,71,122,6.0,False,80
659.0,Bunnelby,Normal,,237.0,38,36,38,32,36,57,6.0,False,45
660.0,Diggersby,Normal,Ground,423.0,85,56,77,50,77,78,6.0,False,92
661.0,Fletchling,Normal,Flying,278.0,45,50,43,40,38,62,6.0,False,51
662.0,Fletchinder,Fire,Flying,382.0,62,73,55,56,52,84,6.0,False,66
663.0,Talonflame,Fire,Flying,499.0,78,81,71,74,69,126,6.0,False,85
664.0,Scatterbug,Bug,,200.0,38,35,40,27,25,35,6.0,False,48
665.0,Spewpa,Bug,,213.0,45,22,60,27,30,29,6.0,False,72
666.0,Vivillon,Bug,Flying,411.0,80,52,50,90,50,89,6.0,False,60
667.0,Litleo,Fire,Normal,369.0,62,50,58,73,54,72,6.0,False,69
668.0,Pyroar,Fire,Normal,507.0,86,68,72,109,66,106,6.0,False,86
669.0,Flabébé,Fairy,,303.0,44,38,39,61,79,42,6.0,False,46
670.0,Floette,Fairy,,371.0,54,45,47,75,98,52,6.0,False,56
671.0,Florges,Fairy,,552.0,78,65,68,112,154,75,6.0,False,81
672.0,Skiddo,Grass,,350.0,66,65,48,62,57,52,6.0,False,57
673.0,Gogoat,Grass,,531.0,123,100,62,97,81,68,6.0,False,74
674.0,Pancham,Fighting,,348.0,67,82,62,46,48,43,6.0,False,74
675.0,Pangoro,Fighting,Dark,495.0,95,124,78,69,71,58,6.0,False,93
676.0,Furfrou,Normal,,472.0,75,80,60,65,90,102,6.0,False,72
677.0,Espurr,Psychic,,355.0,62,48,54,63,60,68,6.0,False,64
678.0,MeowsticMale,Psychic,,466.0,74,48,76,83,81,104,6.0,False,91
678.0,MeowsticFemale,Psychic,,466.0,74,48,76,83,81,104,6.0,False,91
679.0,Honedge,Steel,Ghost,325.0,45,80,100,35,37,28,6.0,False,120
680.0,Doublade,Steel,Ghost,448.0,59,110,150,45,49,35,6.0,False,180
681.0,AegislashBlade Forme,Steel,Ghost,520.0,60,150,50,150,50,60,6.0,False,60
681.0,AegislashShield Forme,Steel,Ghost,520.0,60,50,150,50,150,60,6.0,False,180
682.0,Spritzee,Fairy,,341.0,78,52,60,63,65,23,6.0,False,72
683.0,Aromatisse,Fairy,,462.0,101,72,72,99,89,29,6.0,False,86
684.0,Swirlix,Fairy,,341.0,62,48,66,59,57,49,6.0,False,79
685.0,Slurpuff,Fairy,,480.0,82,80,86,85,75,72,6.0,False,103
686.0,Inkay,Dark,Psychic,288.0,53,54,53,37,46,45,6.0,False,63
687.0,Malamar,Dark,Psychic,482.0,86,92,88,68,75,73,6.0,False,105
688.0,Binacle,Rock,Water,306.0,42,52,67,39,56,50,6.0,False,80
689.0,Barbaracle,Rock,Water,500.0,72,105,115,54,86,68,6.0,False,138
690.0,Skrelp,Poison,Water,320.0,50,60,60,60,60,30,6.0,False,72
691.0,Dragalge,Poison,Dragon,494.0,65,75,90,97,123,44,6.0,False,108
692.0,Clauncher,Water,,330.0,50,53,62,58,63,44,6.0,False,74
693.0,Clawitzer,Water,,500.0,71,73,88,120,89,59,6.0,False,105
694.0,Helioptile,Electric,Normal,289.0,44,38,33,61,43,70,6.0,False,39
695.0,Heliolisk,Electric,Normal,481.0,62,55,52,109,94,109,6.0,False,62
696.0,Tyrunt,Rock,Dragon,362.0,58,89,77,45,45,48,6.0,False,92
697.0,Tyrantrum,Rock,Dragon,521.0,82,121,119,69,59,71,6.0,False,142
698.0,Amaura,Rock,Ice,362.0,77,59,50,67,63,46,6.0,False,60
699.0,Aurorus,Rock,Ice,521.0,123,77,72,99,92,58,6.0,False,86
700.0,Sylveon,Fairy,,525.0,95,65,65,110,130,60,6.0,False,78
701.0,Hawlucha,Fighting,Flying,500.0,78,92,75,74,63,118,6.0,False,90
702.0,Dedenne,Electric,Fairy,431.0,67,58,57,81,67,101,6.0,False,68
703.0,Carbink,Rock,Fairy,500.0,50,50,150,50,150,50,6.0,False,180
704.0,Goomy,Dragon,,300.0,45,50,35,55,75,40,6.0,False,42
705.0,Sliggoo,Dragon,,452.0,68,75,53,83,113,60,6.0,False,63
706.0,Goodra,Dragon,,600.0,90,100,70,110,150,80,6.0,False,84
707.0,Klefki,Steel,Fairy,470.0,57,80,91,80,87,75,6.0,False,109
708.0,Phantump,Ghost,Grass,309.0,43,70,48,50,60,38,6.0,False,57
709.0,Trevenant,Ghost,Grass,474.0,85,110,76,65,82,56,6.0,False,91
710.0,PumpkabooAverage Size,Ghost,Grass,335.0,49,66,70,44,55,51,6.0,False,84
710.0,PumpkabooSmall Size,Ghost,Grass,335.0,44,66,70,44,55,56,6.0,False,84
710.0,PumpkabooLarge Size,Ghost,Grass,335.0,54,66,70,44,55,46,6.0,False,84
710.0,PumpkabooSuper Size,Ghost,Grass,335.0,59,66,70,44,55,41,6.0,False,84
711.0,GourgeistAverage Size,Ghost,Grass,494.0,65,90,122,58,75,84,6.0,False,146
711.0,GourgeistSmall Size,Ghost,Grass,494.0,55,85,122,58,75,99,6.0,False,146
711.0,GourgeistLarge Size,Ghost,Grass,494.0,75,95,122,58,75,69,6.0,False,146
711.0,GourgeistSuper Size,Ghost,Grass,494.0,85,100,122,58,75,54,6.0,False,146
712.0,Bergmite,Ice,,304.0,55,69,85,32,35,28,6.0,False,102
713.0,Avalugg,Ice,,514.0,95,117,184,44,46,28,6.0,False,220
714.0,Noibat,Flying,Dragon,245.0,40,30,35,45,40,55,6.0,False,42
715.0,Noivern,Flying,Dragon,535.0,85,70,80,97,80,123,6.0,False,96
716.0,Xerneas,Fairy,,680.0,126,131,95,131,98,99,6.0,True,114
717.0,Yveltal,Dark,Flying,680.0,126,131,95,131,98,99,6.0,True,114
718.0,Zygarde50% Forme,Dragon,Ground,600.0,108,100,121,81,95,95,6.0,True,145
719.0,Diancie,Rock,Fairy,600.0,50,100,150,100,150,50,6.0,True,180
719.0,DiancieMega Diancie,Rock,Fairy,700.0,50,160,110,160,110,110,6.0,True,132
720.0,HoopaHoopa Confined,Psychic,Ghost,600.0,80,110,60,150,130,70,6.0,True,72
720.0,HoopaHoopa Unbound,Psychic,Dark,680.0,80,160,60,170,130,80,6.0,True,72
721.0,Volcanion,Fire,Water,600.0,80,110,120,130,90,70,6.0,True,144
,Cybermon,Artificial,,,90,95,110,100,95,85,,,132
,Mechazard,Artificial,,,85,120,100,90,80,95,,,120
,Datagon,Artificial,,,100,110,120,105,110,70,,,144
,Roboflare,Artificial,,,75,130,80,120,85,115,,,96
,Neuralix,Artificial,,,95,100,105,130,125,80,,,126
,Cybermon,Artificial,,,90,95,110,100,95,85,,,132
,Mechazard,Artificial,,,85,120,100,90,80,95,,,120
,Datagon,Artificial,,,100,110,120,105,110,70,,,144
,Roboflare,Artificial,,,75,130,80,120,85,115,,,96
,Neuralix,Artificial,,,95,100,105,130,125,80,,,126
